municipio,regiao,ano,tipo_crime,quantidade,fonte
Agudos do Sul,RGI de Curitiba,2019,Crimes de Ameaça,89.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Crimes de Ameaça,98.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Crimes de Ameaça,101.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Crimes de Ameaça,89.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Crimes de Ameaça,86.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2024,Crimes de Ameaça,77.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Crimes de Estelionato,12.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Crimes de Estelionato,24.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Crimes de Estelionato,27.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Crimes de Estelionato,45.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Crimes de Estelionato,76.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Crimes de Estelionato,85.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2024,Crimes de Estelionato,102.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Crimes de Estupro,5.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Crimes de Estupro,2.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Crimes de Estupro,7.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Crimes de Estupro,5.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Crimes de Estupro,6.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Crimes de Estupro,1.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2024,Crimes de Estupro,6.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Crimes de Furto,100.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Crimes de Furto,148.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Crimes de Furto,87.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Crimes de Furto,124.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Crimes de Furto,64.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Crimes de Furto,83.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2024,Crimes de Furto,56.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Crimes de Lesão Corporal,52.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Crimes de Lesão Corporal,68.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Crimes de Lesão Corporal,67.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Crimes de Lesão Corporal,64.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Crimes de Lesão Corporal,73.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Crimes de Lesão Corporal,61.0,Crimes gerais
